stamp,face_id,fused_x,fused_y,fused_z,fused_qx,fused_qy,fused_qz,fused_qw,pred_x,pred_y,pred_z,pred_qx,pred_qy,pred_qz,pred_qw,pos_err,ang_err_deg,image_error,object_error,weight
1767066185.002980,10,-0.134598,-0.028047,0.629792,0.542855,0.632490,-0.026078,0.551893,-0.134428,-0.027387,0.629989,0.542869,0.632236,-0.027766,0.552087,0.000709,0.196971,0.000000,1.264874,0.790592
1767066185.002980,13,-0.134598,-0.028047,0.629792,0.542855,0.632490,-0.026078,0.551893,-0.134824,-0.028920,0.629532,0.542833,0.632823,-0.023841,0.551633,0.000939,0.260813,0.000000,1.674844,0.597070
1767066185.036501,10,-0.134092,-0.028069,0.628213,0.542466,0.632902,-0.025641,0.551823,-0.133231,-0.027487,0.626116,0.541901,0.634687,-0.025819,0.550318,0.002341,0.276054,0.000000,1.081327,0.924790
1767066185.036501,13,-0.134092,-0.028069,0.628213,0.542466,0.632902,-0.025641,0.551823,-0.135151,-0.028991,0.630596,0.541421,0.632144,-0.023206,0.553822,0.002765,0.390123,0.000000,1.687827,0.592478
1767066185.069770,10,-0.134396,-0.028066,0.628680,0.542568,0.632495,-0.024860,0.552224,-0.134311,-0.027437,0.628081,0.542739,0.631071,-0.025069,0.553675,0.000873,0.235069,0.000000,1.212590,0.824681
1767066185.069770,13,-0.134396,-0.028066,0.628680,0.542568,0.632495,-0.024860,0.552224,-0.135044,-0.028915,0.630311,0.542670,0.633080,-0.021983,0.551576,0.001950,0.344742,0.000000,1.649531,0.606233
1767066185.103380,10,-0.134415,-0.028125,0.629006,0.542568,0.632946,-0.024194,0.551737,-0.133868,-0.027654,0.628201,0.542785,0.633939,-0.024082,0.550387,0.001082,0.194109,0.000000,1.233245,0.810869
1767066185.103380,13,-0.134415,-0.028125,0.629006,0.542568,0.632946,-0.024194,0.551737,-0.135185,-0.028877,0.630761,0.542274,0.632953,-0.022376,0.552095,0.002059,0.215011,0.000000,1.642892,0.608683
1767066185.136760,10,-0.134520,-0.028135,0.629370,0.542652,0.632790,-0.024136,0.551836,-0.134345,-0.027572,0.629451,0.543132,0.632380,-0.024910,0.551800,0.000596,0.114515,0.000000,1.248193,0.801158
1767066185.136760,13,-0.134520,-0.028135,0.629370,0.542652,0.632790,-0.024136,0.551836,-0.134960,-0.028861,0.630041,0.542287,0.632867,-0.023009,0.552154,0.001081,0.140812,0.000000,1.557629,0.642002
1767066185.170292,10,-0.134605,-0.028040,0.629743,0.541944,0.632486,-0.024931,0.552844,-0.134149,-0.027262,0.629081,0.540868,0.632104,-0.028273,0.554172,0.001119,0.432313,0.000000,1.221307,0.818795
1767066185.170292,13,-0.134605,-0.028040,0.629743,0.541944,0.632486,-0.024931,0.552844,-0.135440,-0.028912,0.631524,0.541371,0.632122,-0.022572,0.553922,0.002152,0.307274,0.000000,1.713179,0.583710
1767066185.203771,10,-0.134730,-0.028049,0.629919,0.542080,0.632121,-0.024828,0.553132,-0.134337,-0.027413,0.628758,0.542554,0.631309,-0.026094,0.553537,0.001381,0.186563,0.000000,1.219975,0.819689
