# joint positions for JAKA ZU3 world-robot calibration
# 单位：弧度
joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.10,-0.50,0.80,-0.30,1.20,0.00
0.20,-0.60,0.70,-0.40,1.00,0.10
0.00,-0.70,0.90,-0.20,1.30,-0.10
-0.20,-0.60,0.85,-0.50,1.10,0.20
-0.30,-0.50,0.75,-0.40,1.20,0.00
-0.10,-0.80,0.95,-0.30,1.00,-0.20
0.25,-0.65,0.80,-0.35,1.15,0.05
0.15,-0.55,0.90,-0.45,1.05,-0.15
-0.15,-0.70,0.82,-0.25,1.25,0.12
0.05,-0.60,0.88,-0.38,1.18,-0.05
0.18,-0.72,0.78,-0.28,1.08,0.18
-0.22,-0.58,0.86,-0.42,1.14,-0.08
0.12,-0.68,0.92,-0.32,1.22,0.09
-0.05,-0.62,0.83,-0.47,1.00,0.00
0.30,-0.55,0.81,-0.31,1.10,-0.12
-0.12,-0.75,0.87,-0.29,1.16,0.14
