# JAKA ZU3 world-robot calibration target TCP poses (base frame)
# 单位：位置 mm，姿态 RPY 角度 deg
name,x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg
A1,-406,-48,338,18,15,139
A2,-406,-48,348,18,45,139
A3,-406,-48,338,33,20,139
A4,-406,-48,338,3,20,139
B1,-386,-68,348,18,25,164
B2,-426,-28,348,18,25,114
B3,-376,-78,358,28,30,179
B4,-436,-18,358,8,30,99
C1,-366,-48,358,30,22,149
C2,-446,-48,358,6,22,149
C3,-406,-88,368,18,18,159
C4,-406,-8,368,18,18,119
D1,-371,-13,373,28,35,129
D2,-441,-83,373,8,35,149
D3,-386,-78,363,18,40,144
D4,-426,-18,363,30,40,154
